district/city,terakhir update,fatality rate (hari ini),konfirmasi (hari ini),konfirmasi (sebelum),konfirmasi (penambahan)
BANGKALAN DISTRICT,6/30/2021,0.0933,3527,3467,60
BANYUWANGI DISTRICT,6/30/2021,0.0978,7432,7373,59
BLITAR  DISTRICT,6/30/2021,0.1194,6240,6207,33
BOJONEGORO  DISTRICT,6/30/2021,0.0508,2952,2935,17
BONDOWOSO  DISTRICT,6/30/2021,0.0716,2892,2865,27
GRESIK  DISTRICT,6/30/2021,0.0616,5991,5991,0
JEMBER  DISTRICT,6/30/2021,0.0699,7507,7507,0
JOMBANG  DISTRICT,6/30/2021,0.1051,5320,5272,48
KEDIRI  DISTRICT,6/30/2021,0.0987,5238,5215,23
LAMONGAN  DISTRICT,6/30/2021,0.0615,3236,3209,27
LUMAJANG  DISTRICT,6/30/2021,0.0865,3341,3314,27
MADIUN  DISTRICT,6/30/2021,0.0597,4370,4370,0
MAGETAN  DISTRICT,6/30/2021,0.0759,4518,4486,32
MALANG  DISTRICT,6/30/2021,0.0679,3784,3749,35
MOJOKERTO  DISTRICT,6/30/2021,0.0259,3008,2930,78
NGANJUK  DISTRICT,6/30/2021,0.0983,4193,4158,35
NGAWI  DISTRICT,6/30/2021,0.1042,3042,3016,26
PACITAN  DISTRICT,6/30/2021,0.0224,3533,3513,20
PAMEKASAN  DISTRICT,6/30/2021,0.0822,1314,1301,13
PASURUAN  DISTRICT,6/30/2021,0.0852,4060,4025,35
PONOROGO  DISTRICT,6/30/2021,0.1085,4672,4652,20
PROBOLINGGO  DISTRICT,6/30/2021,0.0586,3432,3400,32
SAMPANG  DISTRICT,6/30/2021,0.0614,1221,1199,22
SIDOARJO  DISTRICT,6/30/2021,0.0532,12040,11979,61
SITUBONDO  DISTRICT,6/30/2021,0.0806,2978,2939,39
SUMENEP  DISTRICT,6/30/2021,0.0545,2019,1988,31
TRENGGALEK  DISTRICT,6/30/2021,0.0969,4489,4454,35
TUBAN  DISTRICT,6/30/2021,0.1086,4108,4093,15
TULUNGAGUNG  DISTRICT,6/30/2021,0.0202,3510,3491,19
BATU CITY,6/30/2021,0.0911,1635,1627,8
BLITAR CITY,6/30/2021,0.043,2839,2824,15
KEDIRI CITY,6/30/2021,0.0983,1557,1537,20
MADIUN CITY,6/30/2021,0.0683,3251,3215,36
MALANG CITY,6/30/2021,0.0943,7066,7051,15
MOJOKERTO CITY,6/30/2021,0.0668,3084,3050,34
PASURUAN CITY,6/30/2021,0.0919,1883,1864,19
PROBOLINGGO CITY,6/30/2021,0.0711,2335,2316,19
SURABAYA CITY,6/30/2021,0.0551,25397,25322,75
