Kabupaten/Kota,Jumlah rumah sakit umum,Jumlah dokter,Indeks pembangunan manusia,Persentase penduduk miskin,PDRB,Total pengeluaran perkapita,Tingkat pengangguran terbuka,Kepadatan penduduk,Jumlah populasi,Persentase penduduk perkotaan,Rasio jenis kelamin,Persentase Penduduk Lansia
Bangkalan District,3,110,64.11,20.56,17514.62,791935,8.77,1059,1060377,30.84,97.24,12.83
Banyuwangi District,12,316,70.62,8.06,53295.11,990798,5.34,295,1708114,60.21,100.27,15.84
Blitar District,8,184,70.58,9.33,24945.46,885475,3.82,916,1223745,45,101.53,17.11
Bojonegoro District,9,221,69.04,12.87,69703.42,904017,4.92,592,1301635,25.92,100.89,14.75
Bondowoso District,3,88,66.43,14.17,13451.77,807746,4.13,509,776151,39.51,97.03,16.35
Gresik District,18,297,76.11,12.4,97616.6,1304981,8.21,1101,1311215,66.95,101.44,9.79
Jember District,10,282,67.11,10.09,52586.56,875962,5.12,820,2536729,50.8,99.47,14.3
Jombang District,11,248,72.97,9.94,27657.58,1000946,7.48,1182,1318062,69.22,101.71,13.26
Kediri District,9,256,72.05,11.4,28490.95,897042,5.24,1180,1635294,52.54,102.03,14.5
Lamongan District,10,219,72.58,13.85,26972.65,1018645,5.13,754,1344165,27.9,100.18,14.66
Lumajang District,7,141,65.46,9.83,21933.79,756384,3.36,625,1119251,35.11,97.86,14.62
Madiun District,3,104,71.73,11.46,12939.58,917157,4.8,717,744350,36.36,98.26,17.9
Magetan District,2,95,73.92,10.35,13020.89,941723,3.74,974,670812,45.85,96.84,20.31
Malang District,20,345,70.36,10.15,66545.47,957860,5.49,752,2654448,54.82,101.61,14.2
Mojokerto District,11,192,73.83,10.57,57818.42,1206234,5.75,1559,1119209,55.46,101.2,11.83
Nganjuk District,5,202,71.72,11.62,17990.36,880817,4.8,902,1103902,43.14,101.21,15.51
Ngawi District,3,181,70.54,15.44,13479.74,817267,5.44,671,870057,25.3,98.6,17.48
Pacitan District,2,89,68.39,14.54,10837.87,789088,2.28,422,586110,21.77,100.45,20.25
Pamekasan District,6,133,66.26,14.6,11117.62,714598,3.49,1073,850057,30.46,96.27,10.78
Pasuruan District,8,184,68.6,9.26,103152.8,1014042,6.24,1090,1605969,50.9,100.19,10.14
Ponorogo District,6,147,70.81,9.95,14168.62,1018283,4.45,727,949318,34.73,99.83,19.23
Probolinggo District,5,110,66.07,18.61,22898.24,859198,4.86,679,1152537,40.91,97.4,13.04
Sampang District,3,79,62.7,22.78,13953.74,667972,3.35,786,969694,20.06,98.7,10.51
Sidoarjo District,21,589,80.29,5.59,135305.32,1602881,10.97,3283,2082801,98.43,101.39,8.19
Situbondo District,5,96,67.38,12.22,13282.84,773896,3.85,411,685967,51.47,96.43,14.67
Sumenep District,3,88,66.43,20.18,23546.51,893067,2.84,563,1124436,23.41,93.3,14.44
Trenggalek District,2,98,69.74,11.62,12502.39,863724,4.11,637,731125,35.78,100.99,17.23
Tuban District,5,143,68.4,15.91,42705.01,890624,4.81,653,1198012,30.99,99.78,13.25
Tulungagung District,9,231,73,7.33,26455.76,1032860,4.61,1032,1089775,52.95,100.13,15.94
Batu City,5,104,75.9,3.89,11025.81,1369206,5.93,1558,213046,97.04,101.47,12.43
Blitar City,5,125,78.57,7.78,4722.55,1369646,6.68,4579,149149,100,99.05,13.44
Kediri City,8,195,78.23,7.69,84374.98,1249789,6.21,4524,286796,100,100.3,11.44
Madiun City,6,155,80.91,4.98,10262.44,1569951,8.32,5754,195175,100,95.7,14.74
Malang City,13,438,81.45,4.44,51154.53,1743568,9.61,5808,843810,100,99.05,11.04
Mojokerto City,6,111,78.04,6.24,4801.46,1383231,6.74,6553,132434,100,98.41,10.96
Pasuruan City,2,96,75.26,6.66,5706.6,1209888,6.33,5894,208006,100,100.08,9.46
Probolinggo City,2,131,73.27,7.43,8035.27,1213358,6.7,4229,239649,97.89,98.35,10.66
Surabaya City,37,1084,82.23,5.02,390936.43,1879145,9.79,8200,2874314,100,98.35,9.16
